#Temps	EA4
0	6.02010140940547
0.05	6.02010140940547
0.1	6.02010140940547
0.15	5.99515072349459
0.2	6.02010140940547
0.25	6.02010140940547
0.3	6.02010140940547
0.35	6.02010140940547
0.4	6.02010140940547
0.45	6.02010140940547
0.5	6.01511127222329
0.55	6.01012113504112
0.6	6.02010140940547
0.65	6.02010140940547
0.7	6.02509154658765
0.75	6.02010140940547
0.8	6.02010140940547
0.85	6.02509154658765
0.9	5.78556496184319
0.95	5.49613700527698
1	5.0520147960633
1.05	4.49810956884176
1.1	3.8194509120658
1.15	3.08091060910374
1.2	2.38229140359908
1.25	1.78846507892013
1.3	1.34933300688863
1.35	1.26949081197381
1.4	1.51899767108262
1.45	1.96311988029629
1.5	2.52700538188219
1.55	3.16574294120073
1.6	3.81446077488363
1.65	4.39830682519823
1.7	4.85240930877626
1.75	5.09692603070289
1.8	5.14682740252465
1.85	4.97217260114849
1.9	4.67276437021792
1.95	4.18373092636466
2	3.56495391577482
2.05	2.90625580772758
2.1	2.28248865995556
2.15	1.76351439300925
2.2	1.39424424152821
2.25	1.24454012606293
2.3	1.2096091657877
2.35	1.4391554761678
2.4	1.81341576483101
2.45	2.33239003177732
2.5	2.92621635645628
2.55	3.54499336704612
2.6	4.10887886863202
2.65	4.57795176375657
2.7	4.83743889722973
2.75	4.92227122932673
2.8	4.85739944595844
2.85	4.5929221753031
2.9	4.17874078918248
2.95	3.61984542477876
3	3.0060585513711
3.05	2.40724208950996
3.1	1.88826782256365
3.15	1.49404698517174
3.2	1.30941190943122
3.25	1.23954998888075
3.3	1.39424424152821
3.35	1.72359329555184
3.4	2.18767605349422
3.45	2.73659114353359
3.5	3.32542733103037
3.55	3.87933255825192
3.6	4.34840545337647
3.65	4.64781368430704
3.7	4.75759670231491
3.75	4.74262629076838
3.8	4.54302080348134
3.85	4.16876051481813
3.9	3.6747369337827
3.95	3.10586129501462
4	2.53199551906437
4.05	2.01801138930023
4.1	1.62379055190831
4.15	1.39923437871039
4.2	1.3144020466134
4.25	1.39923437871039
4.3	1.67369192373008
4.35	2.08288317266852
4.4	2.59187716525048
4.45	3.14079225528985
4.5	3.68471720814705
4.55	4.13881969172508
4.6	4.4681687457487
4.65	4.62286299839616
4.7	4.63284327276051
4.75	4.48313915729523
4.8	4.17375065200031
4.85	3.72962844278663
4.9	3.21065417584032
4.95	2.66173908580095
5	2.16272536758333
5.05	1.76351439300925
5.1	1.50901739671826
5.15	1.39923437871039
5.2	1.4391554761678
5.25	1.65872151218355
5.3	2.01302125211805
5.35	2.47211387287825
5.4	2.98609800264239
5.45	3.50008213240653
5.5	3.94919447880238
5.55	4.29850408155471
5.6	4.49311943165958
5.65	4.52805039193481
5.7	4.41826737392694
5.75	4.16377037763596
5.8	3.76954954024404
5.85	3.29049637075514
5.9	2.78649251535535
5.95	2.30743934586644
6	1.90822837129235
6.05	1.62878068909049
6.1	1.49903712235391
6.15	1.50901739671826
6.2	1.67369192373008
6.25	1.97809029184282
6.3	2.38728154078126
6.35	2.86134457308799
6.4	3.34538787975907
6.45	3.78451995179057
6.5	4.13881969172508
6.55	4.36836600210518
6.6	4.44321805983782
6.65	4.363375864923
6.7	4.15878024045378
6.75	3.80947063770145
6.8	3.38031884003431
6.85	2.90625580772758
6.9	2.45714346133173
6.95	2.06791276112199
7	1.77848480455577
7.05	1.61880041472614
7.1	1.59883986599743
7.15	1.71860315836966
7.2	1.97809029184282
7.25	2.34237030614167
7.3	2.77152210380882
7.35	3.22562458738685
7.4	3.64479611068964
7.45	3.99909585062414
7.5	4.24860270973295
7.55	4.35339559055865
7.6	4.31347449310124
7.65	4.14879996608943
7.7	3.84440159797668
7.75	3.46016103494912
7.8	3.0260191000998
7.85	2.59686730243266
7.9	2.21761687658727
7.95	1.9182086456567
8	1.73856370709836
8.05	1.69365247245878
8.1	1.78347494173795
8.15	1.99306070338935
8.2	2.31242948304862
8.25	2.70665032044053
8.3	3.12083170656115
8.35	3.52503281831741
8.4	3.86436214670539
8.45	4.12384928017855
8.5	4.24860270973295
8.55	4.2386224353686
8.6	4.10388873144984
8.65	3.84939173515886
8.7	3.51006240677088
8.75	3.12083170656115
8.8	2.71663059480488
8.85	2.34736044332385
8.9	2.05294234957546
8.95	1.85832699947059
9	1.78846507892013
9.05	1.84834672510624
9.1	2.0230015264824
9.15	2.30244920868427
9.2	2.65175881143659
9.25	3.03599937446415
9.3	3.41524980030954
9.35	3.74459885433316
9.4	3.99909585062414
9.45	4.14380982890725
9.5	4.15878024045378
9.55	4.05897749681026
9.6	3.84440159797668
9.65	3.54499336704612
9.7	3.18570348992944
9.75	2.80146292690188
9.8	2.45714346133173
9.85	2.16272536758333
9.9	1.95812974311411
9.95	1.86331713665277
10	1.898248096928
10.05	2.03797193802893
10.1	2.26751824840903
10.15	2.5868870280683
10.2	2.93619663082063
10.25	3.29548650793731
10.3	3.61485528759658
10.35	3.86436214670539
10.4	4.02404653653502
10.45	4.06895777117461
10.5	4.00408598780632
10.55	3.82444104924798
10.6	3.56495391577482
10.65	3.25057527329773
10.7	2.90625580772758
10.75	2.57191661652178
10.8	2.28747879713774
10.85	2.07789303548634
10.9	1.96811001747847
10.95	1.97310015466064
11	2.08288317266852
11.05	2.29246893431991
11.1	2.5669264793396
11.15	2.88629525899887
11.2	3.21065417584032
11.25	3.51505254395306
11.3	3.75956926587969
11.35	3.91925365570933
11.4	3.98412543907762
11.45	3.93921420443803
11.5	3.79450022615492
11.55	3.56495391577482
11.6	3.28051609639078
11.65	2.96114731673151
11.7	2.65175881143659
11.75	2.38229140359908
11.8	2.17270564194769
11.85	2.05294234957546
11.9	2.03797193802893
11.95	2.12280427012593
12	2.29246893431991
12.05	2.53199551906437
12.1	2.81643333844841
12.15	3.12083170656115
12.2	3.40526952594519
12.25	3.63980597350746
12.3	3.80947063770145
12.35	3.87933255825192
12.4	3.85937200952321
12.45	3.74958899151534
12.5	3.55497364141047
12.55	3.29548650793731
12.6	3.0060585513711
12.65	2.72162073198706
12.7	2.4621335985139
12.75	2.25753797404468
12.8	2.1277944073081
12.85	2.09286344703287
12.9	2.15274509321898
12.95	2.28747879713774
13	2.49706455878913
13.05	2.75156155508012
13.1	3.0260191000998
13.15	3.30047664511949
13.2	3.52503281831741
13.25	3.68970734532923
13.3	3.7795298146084
13.35	3.77453967742622
13.4	3.6946974825114
13.45	3.52004268113524
13.5	3.30047664511949
13.55	3.04098951164633
13.6	2.78150237817317
13.65	2.53698565624654
13.7	2.34237030614167
13.75	2.20763660222292
13.8	2.16272536758333
13.85	2.19765632785857
13.9	2.30743934586644
13.95	2.48708428442478
14	2.71164045762271
14.05	2.96613745391369
14.1	3.20067390147597
14.15	3.42023993749171
14.2	3.58491446450353
14.25	3.67972707096487
14.3	3.6946974825114
14.35	3.62982569914311
14.4	3.49010185804218
14.45	3.30047664511949
14.5	3.07592047192156
14.55	2.83140374999493
14.6	2.61183771397918
14.65	2.42221250105649
14.7	2.29745907150209
14.75	2.23757742531598
14.8	2.2525478368625
14.85	2.34736044332385
14.9	2.49706455878913
14.95	2.69667004607618
15	2.91623608209193
15.05	3.13580211810768
15.1	3.33540760539472
15.15	3.49010185804218
15.2	3.58491446450353
15.25	3.60986515041441
15.3	3.56495391577482
15.35	3.45018076058477
15.4	3.29049637075514
15.45	3.09588102065027
15.5	2.88130512181669
15.55	2.67670949734747
15.6	2.50205469597131
15.65	2.37730126641691
15.7	2.31741962023079
15.75	2.31741962023079
15.8	2.39227167796344
15.85	2.51203497033566
15.9	2.691679908894
15.95	2.88629525899887
16	3.08091060910374
16.05	3.26055554766208
16.1	3.40526952594519
16.15	3.49509199522436
16.2	3.53002295549959
16.25	3.50008213240653
16.3	3.41524980030954
16.35	3.27552595920861
16.4	3.10586129501462
16.45	2.91623608209193
16.5	2.73659114353359
16.55	2.57690675370395
16.6	2.4621335985139
16.65	2.39227167796344
16.7	2.38728154078126
16.75	2.43718291260302
16.8	2.54197579342872
16.85	2.68668977171183
16.9	2.85635443590581
16.95	3.03100923728198
17	3.19069362711161
17.05	3.32542733103037
17.1	3.41524980030954
17.15	3.4451906234026
17.2	3.43521034903824
17.25	3.36534842848778
17.3	3.25057527329773
17.35	3.10087115783244
17.4	2.94118676800281
17.45	2.78150237817317
17.5	2.63678839989007
17.55	2.53199551906437
17.6	2.46712373569608
17.65	2.45714346133173
17.7	2.48708428442478
17.75	2.57690675370395
17.8	2.70166018325835
17.85	2.83639388717711
17.9	2.99108813982457
17.95	3.13580211810768
18	3.2555654104799
18.05	3.33041746821254
18.1	3.37532870285213
18.15	3.36534842848778
18.2	3.31045691948384
18.25	3.21564431302249
18.3	3.09588102065027
18.35	2.95615717954934
18.4	2.82142347563058
18.45	2.691679908894
18.5	2.59686730243266
18.55	2.54197579342872
18.6	2.52201524470001
18.65	2.55195606779307
18.7	2.61682785116136
18.75	2.72162073198706
18.8	2.83639388717711
18.85	2.96613745391369
18.9	3.09089088346809
18.95	3.19568376429379
19	3.27053582202643
19.05	3.30546678230166
19.1	3.30047664511949
19.15	3.2555654104799
19.2	3.18071335274726
19.25	3.08091060910374
19.3	2.96613745391369
19.35	2.85136429872364
19.4	2.74158128071576
19.45	2.66173908580095
19.5	2.61183771397918
19.55	2.59686730243266
19.6	2.61682785116136
19.65	2.6717193601653
19.7	2.75156155508012
19.75	2.85136429872364
19.8	2.95615717954934
19.85	3.05595992319286
19.9	3.14578239247203
19.95	3.21065417584032
20	3.24059499893337
20.05	3.24059499893337
20.1	3.20566403865814
20.15	3.14578239247203
20.2	3.07093033473939
20.25	2.97611772827804
20.3	2.88130512181669
20.35	2.79148265253752
20.4	2.72162073198706
20.45	2.67670949734747
20.5	2.66672922298312
20.55	2.68169963452965
20.6	2.72162073198706
20.65	2.78649251535535
20.7	2.86633471027017
20.75	2.94617690518498
20.8	3.03100923728198
20.85	3.09588102065027
20.9	3.1507725296542
20.95	3.17073307838291
21	3.17073307838291
21.05	3.14578239247203
21.1	3.10087115783244
21.15	3.03599937446415
21.2	2.96114731673151
21.25	2.88629525899887
21.3	2.81643333844841
21.35	2.76653196662664
21.4	2.73160100635141
21.45	2.72162073198706
21.5	2.73659114353359
21.55	2.77152210380882
21.6	2.81643333844841
21.65	2.87631498463452
21.7	2.94118676800281
21.75	3.00106841418892
21.8	3.06095006037503
21.85	3.09089088346809
21.9	3.1108514321968
21.95	3.10586129501462
22	3.08590074628592
22.05	3.05096978601068
22.1	3.00106841418892
22.15	2.94617690518498
22.2	2.89128539618105
22.25	2.84138402435929
22.3	2.80645306408405
22.35	2.78150237817317
22.4	2.776512240991
22.45	2.79148265253752
22.5	2.81643333844841
22.55	2.85136429872364
22.6	2.89627553336322
22.65	2.94617690518498
22.7	2.98110786546022
22.75	3.01603882573545
22.8	3.04098951164633
22.85	3.05096978601068
22.9	3.04098951164633
22.95	3.0260191000998
23	3.00106841418892
23.05	2.96114731673151
23.1	2.92621635645628
23.15	2.89128539618105
23.2	2.86134457308799
23.25	2.83639388717711
23.3	2.83140374999493
23.35	2.82641361281276
23.4	2.84138402435929
23.45	2.85635443590581
23.5	2.88629525899887
23.55	2.9212262192741
23.6	2.94617690518498
23.65	2.97112759109586
23.7	2.98609800264239
23.75	2.99607827700675
23.8	2.99607827700675
23.85	2.98609800264239
23.9	2.97112759109586
23.95	2.95116704236716
24	2.93120649363846
24.05	2.91124594490975
24.1	2.89128539618105
24.15	2.87631498463452
24.2	2.86633471027017
24.25	2.86633471027017
24.3	2.87631498463452
24.35	2.88629525899887
24.4	2.9012656705454
24.45	2.91124594490975
24.5	2.92621635645628
24.55	2.94617690518498
24.6	2.95116704236716
24.65	2.95615717954934
24.7	2.95116704236716
24.75	2.94617690518498
24.8	2.93619663082063
24.85	2.92621635645628
24.9	2.91623608209193
24.95	2.90625580772758
25	2.9012656705454
25.05	2.89627553336322
25.1	2.89128539618105
25.15	2.89627553336322
25.2	2.9012656705454
25.25	2.90625580772758
25.3	2.91124594490975
25.35	2.9212262192741
25.4	2.9212262192741
25.45	2.9212262192741
25.5	2.92621635645628
25.55	2.9212262192741
25.6	2.9212262192741
25.65	2.91124594490975
25.7	2.90625580772758
25.75	2.90625580772758
25.8	2.90625580772758
25.85	2.90625580772758
25.9	2.90625580772758
25.95	2.91124594490975
26	2.91124594490975
26.05	2.91124594490975
26.1	2.91623608209193
26.15	2.91623608209193
26.2	2.91623608209193
26.25	2.91124594490975
26.3	2.91124594490975
26.35	2.91124594490975
26.4	2.90625580772758
26.45	2.90625580772758
26.5	2.9012656705454
26.55	2.90625580772758
26.6	2.90625580772758
26.65	2.90625580772758
26.7	2.91124594490975
26.75	2.91623608209193
26.8	2.91124594490975
26.85	2.91124594490975
26.9	2.90625580772758
26.95	2.90625580772758
27	2.90625580772758
27.05	2.89627553336322
27.1	2.9012656705454
27.15	2.9012656705454
27.2	2.9012656705454
27.25	2.9012656705454
27.3	2.90625580772758
27.35	2.90625580772758
27.4	2.90625580772758
27.45	2.90625580772758
27.5	2.9012656705454
27.55	2.9012656705454
27.6	2.9012656705454
27.65	2.9012656705454
27.7	2.9012656705454
27.75	2.9012656705454
27.8	2.90625580772758
27.85	2.9012656705454
27.9	2.9012656705454
27.95	2.90625580772758
28	2.9012656705454
28.05	2.9012656705454
28.1	2.9012656705454
28.15	2.9012656705454
28.2	2.89627553336322
28.25	2.9012656705454
28.3	2.9012656705454
28.35	2.89627553336322
28.4	2.89627553336322
28.45	2.9012656705454
28.5	2.9012656705454
28.55	2.90625580772758
28.6	2.9012656705454
28.65	2.9012656705454
28.7	2.9012656705454
